Nombre,Edad,Ingresos (MXN),Carrera,Trabajo
María Sánchez,30,39578,Comunicación,Gerente de Proyectos
Sofía Martínez,56,44536,Arquitectura,Gerente de Proyectos
Patricia Rodríguez,31,44084,Medicina,Diseñador UX/UI
Sofía Pérez,36,32998,Medicina,Desarrollador de Software
Elena Hernández,49,68595,Arquitectura,Arquitecto
Carmen Pérez,33,62692,Administración de Empresas,Diseñador UX/UI
Miguel García,37,105954,Ingeniería Industrial,Consultor Financiero
Juan Ramírez,26,127992,Ingeniería en Sistemas,Especialista en Marketing
Carmen García,59,54476,Marketing,Diplomático
Laura Pérez,62,18023,Psicología,Jefe de Enfermería
Laura González,47,82045,Medicina,Analista de Comunicación
Javier Rodríguez,53,77681,Gastronomía,Ingeniero de Procesos
Ana Jiménez,64,75794,Educación,Gerente de Proyectos
Laura García,28,105164,Educación,Profesor de Secundaria
Miguel Hernández,52,31066,Enfermería,Gerente de Proyectos
Elena Pérez,34,119551,Enfermería,Chef Ejecutivo
Carmen Ramírez,58,10909,Economía,Consultor Financiero
Francisco Rodríguez,35,42790,Psicología,Consultor Financiero
David Martínez,22,92538,Arquitectura,Psicólogo Clínico
Carmen Gómez,61,13920,Contaduría Pública,Diplomático
Javier Rodríguez,57,94198,Educación,Abogado Corporativo
Javier Pérez,44,31052,Ingeniería en Sistemas,Especialista en Marketing
Miguel Ramírez,44,44492,Ingeniería Industrial,Consultor Financiero
